"","nest","site","species","status","fate","i","j","k","final_fate","cov_5m","nest_age","cam_fate"
"224","20445","RUTW","LETE","0,0,0",0,"89","95","95","1","10",NA,NA
"225","20446","RUTW","LETE","0,0,0,0,0",0,"89","101","101","1","0",NA,NA
"226","20447","RUTW","LETE","0,0,0,0,0",0,"89","101","101","1","0",NA,NA
"227","20448","RUTW","LETE","0,1",1,"89","89","92","6","0",NA,NA
"228","20449","RUTW","LETE","0,0,0,0,1",1,"89","98","101","0","10",NA,NA
"229","20450","RUTW","LETE","0,0,0,1,0",0,"89","101","101","1","30",NA,NA
"230","20451","RUTW","LETE","0,0,0",0,"92","98","98","1","30",NA,NA
"231","20452","RUTW","LETE","0,0,0,0",0,"92","101","101","1","30",NA,NA
"232","20453","RUTW","LETE","0,0,0,0",0,"92","101","101","1","30",NA,NA
"233","20455","RUTW","LETE","0,1",1,"95","95","98","3","0",NA,NA
"234","20456","RUTW","LETE","0,0,1",1,"95","98","101","0","0",NA,NA
"235","20457","RUTW","LETE","0,0,0",0,"95","101","101","1","10",NA,NA
"236","20458","RUTW","LETE","0,0,0",0,"95","101","101","1","30",NA,NA
"237","20459","RUTW","LETE","0,0,1",1,"98","101","103","3","10",NA,NA
"238","20461","RUTW","LETE","0,1",1,"101","101","103","0","5","5","3"
"239","20462","RUTW","LETE","0,1",1,"101","101","103","3","5",NA,NA
"240","20463","RUTW","LETE","0,1",1,"101","101","103","3","30","18","3"
"241","20464","RUTW","LETE","0,1",1,"101","101","103","3","0",NA,NA
"242","20465","RUTW","LETE","0,1",1,"101","101","103","3","40","18","3"
"243","20466","RUTW","LETE","0,1",1,"105","105","108","4","50","20","6"
